,Name,Team,Mins Per Game,Field Goal %,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Points Per Game
23,Sharife Cooper,ATL,3.0,.214,0.4,0.4,0.0,0.0,0.4,0.5
24,Jayson Tatum,BOS,35.9,.453,8.0,4.4,1.0,0.6,2.9,26.9
25,Jaylen Brown,BOS,33.6,.473,6.1,3.5,1.1,0.3,2.7,23.6
26,Marcus Smart,BOS,32.3,.418,3.8,5.9,1.7,0.3,2.2,12.1
27,Robert Williams,BOS,29.6,.736,9.6,2.0,0.9,2.2,1.0,10.0
28,Dennis Schröder,BOS,29.2,.440,3.3,4.2,0.8,0.1,2.1,14.4
29,Al Horford,BOS,29.1,.467,7.7,3.4,0.7,1.3,0.9,10.2
30,Derrick White,BOS,27.4,.409,3.4,3.5,0.6,0.6,1.2,11.0
31,Josh Richardson,BOS,24.7,.443,2.8,1.5,0.8,0.5,0.9,9.7
32,Grant Williams,BOS,24.4,.475,3.6,1.0,0.5,0.7,0.8,7.8
33,Daniel Theis,BOS,18.7,.598,4.7,1.0,0.4,0.7,0.7,7.9
34,Romeo Langford,BOS,16.5,.429,2.4,0.4,0.5,0.4,0.4,4.7
35,Payton Pritchard,BOS,14.1,.429,1.9,2.0,0.4,0.1,0.6,6.2
36,Enes Freedom,BOS,11.7,.526,4.6,0.2,0.1,0.4,0.6,3.7
37,Aaron Nesmith,BOS,11.0,.396,1.7,0.4,0.4,0.1,0.6,3.8
38,Jabari Parker,BOS,9.3,.474,2.3,0.5,0.3,0.1,0.7,4.4
39,Luke Kornet,BOS,7.1,.571,2.1,0.7,0.3,0.2,0.0,2.2
40,Sam Hauser,BOS,6.1,.460,1.1,0.4,0.0,0.1,0.1,2.5
41,Juancho Hernangómez,BOS,5.3,.185,1.4,0.2,0.2,0.1,0.3,1.1
42,Matt Ryan,BOS,5.0,.200,0.0,0.0,1.0,0.0,0.0,3.0
43,Brodric Thomas,BOS,5.0,.444,0.8,0.9,0.1,0.1,0.5,1.8
44,Juwan Morgan,BOS,4.0,,0.0,0.0,0.0,0.0,0.0,0.0
45,Malik Fitts,BOS,3.5,.600,0.9,0.6,0.0,0.0,0.0,1.9
46,Bruno Fernando,BOS,2.9,.500,0.8,0.2,0.0,0.2,0.3,1.0
47,Nik Stauskas,BOS,2.5,.333,0.0,0.2,0.0,0.0,0.2,1.2
48,C.J. Miles,BOS,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
49,Kelan Martin,BOS,2.0,.000,0.7,0.0,0.0,0.0,0.0,0.0
50,Joe Johnson,BOS,2.0,1.000,0.0,0.0,0.0,0.0,0.0,2.0
51,Justin Jackson,BOS,2.0,.000,0.0,0.0,0.0,0.0,0.0,2.0
52,Kyrie Irving,BRK,37.6,.469,4.4,5.8,1.4,0.6,2.5,27.4
53,Kevin Durant,BRK,37.2,.518,7.4,6.4,0.9,0.9,3.5,29.9
54,James Harden,BRK,37.0,.414,8.0,10.2,1.3,0.7,4.8,22.5
55,Joe Harris,BRK,30.2,.452,4.0,1.0,0.5,0.1,1.1,11.3
56,Seth Curry,BRK,29.9,.493,2.6,2.6,0.9,0.2,1.3,14.9
57,Patty Mills,BRK,29.0,.408,1.9,2.3,0.6,0.2,0.9,11.4
58,Goran Dragić,BRK,25.5,.376,3.2,4.8,0.9,0.2,2.1,7.3
59,Bruce Brown,BRK,24.6,.506,4.8,2.1,1.1,0.7,0.8,9.0
60,LaMarcus Aldridge,BRK,22.3,.550,5.5,0.9,0.3,1.0,0.9,12.9
61,Andre Drummond,BRK,22.3,.610,10.3,1.4,0.9,1.0,1.5,11.8
62,Nic Claxton,BRK,20.7,.674,5.6,0.9,0.5,1.1,0.8,8.7
63,Kessler Edwards,BRK,20.6,.412,3.6,0.6,0.6,0.5,0.9,5.9
64,DeAndre' Bembry,BRK,19.8,.568,3.2,1.3,1.0,0.5,0.6,5.8
65,James Johnson,BRK,19.2,.469,3.5,2.1,0.5,0.5,0.8,5.5
66,Cam Thomas,BRK,17.6,.433,2.4,1.2,0.5,0.1,0.8,8.5
67,Blake Griffin,BRK,17.1,.425,4.1,1.9,0.5,0.3,0.6,6.4
68,David Duke Jr.,BRK,15.5,.361,3.0,0.8,0.6,0.3,0.4,4.7
69,Langston Galloway,BRK,14.5,.385,2.0,1.3,0.0,0.0,1.3,3.0
70,Day'Ron Sharpe,BRK,12.2,.577,5.0,0.5,0.3,0.5,0.9,6.2
71,Jevon Carter,BRK,12.0,.333,1.5,1.0,0.3,0.2,0.6,3.6
72,Shaquille Harrison,BRK,11.5,.333,2.0,1.5,0.5,0.5,1.0,2.0
73,Paul Millsap,BRK,11.3,.376,3.7,1.0,0.2,0.5,0.5,3.4
74,James Ennis III,BRK,7.0,.286,2.5,0.0,0.5,0.5,0.0,2.5
75,Wenyen Gabriel,BRK,1.0,,1.0,0.0,0.0,0.0,0.0,0.0
76,DeMar DeRozan,CHI,36.1,.504,5.2,4.9,0.9,0.3,2.4,27.9
77,Zach LaVine,CHI,34.7,.476,4.6,4.5,0.6,0.3,2.6,24.4
78,Lonzo Ball,CHI,34.6,.423,5.4,5.1,1.8,0.9,2.3,13.0
79,Nikola Vučević,CHI,33.1,.473,11.0,3.2,1.0,1.0,1.9,17.6
80,Alex Caruso,CHI,28.0,.398,3.6,4.0,1.7,0.4,1.4,7.4
81,Coby White,CHI,27.5,.433,3.0,2.9,0.5,0.2,1.1,12.7
82,Ayo Dosunmu,CHI,27.4,.520,2.8,3.3,0.8,0.4,1.4,8.8
83,Patrick Williams,CHI,24.8,.529,4.1,0.9,0.5,0.5,0.9,9.0
84,Javonte Green,CHI,23.4,.542,4.2,0.9,1.0,0.5,0.5,7.2
85,Derrick Jones Jr.,CHI,17.6,.538,3.3,0.6,0.5,0.6,0.6,5.6
86,Tristan Thompson,CHI,16.3,.565,4.7,0.6,0.5,0.3,0.5,5.7
87,Troy Brown Jr.,CHI,16.0,.419,3.1,1.0,0.5,0.1,0.4,4.3
88,Alfonzo McKinnie,CHI,12.1,.393,1.9,0.3,0.1,0.2,0.4,3.5
89,Matt Thomas,CHI,11.5,.410,1.3,0.5,0.2,0.1,0.2,4.0
90,Malcolm Hill,CHI,10.4,.432,1.8,0.4,0.2,0.1,0.2,3.4
91,Tyler Cook,CHI,10.0,.605,2.7,0.2,0.2,0.2,0.4,3.4
92,Tony Bradley,CHI,10.0,.585,3.4,0.5,0.2,0.6,0.6,3.0
93,Devon Dotson,CHI,7.7,.478,0.8,1.4,0.1,0.0,0.5,2.6
94,Alize Johnson,CHI,7.6,.522,2.3,0.5,0.2,0.0,0.5,1.8
95,Marko Simonovic,CHI,3.9,.267,1.1,0.0,0.1,0.1,0.2,1.9
96,Mac McClung,CHI,3.0,1.000,0.0,0.0,0.0,0.0,1.0,2.0
97,Jordan Bell,CHI,2.0,,1.0,0.0,1.0,0.0,0.0,0.0
98,Miles Bridges,CHO,35.5,.491,7.0,3.8,0.9,0.8,1.9,20.2
99,Terry Rozier,CHO,33.7,.444,4.3,4.5,1.3,0.3,1.3,19.3
100,LaMelo Ball,CHO,32.3,.429,6.7,7.6,1.6,0.4,3.3,20.1
101,Gordon Hayward,CHO,31.9,.459,4.6,3.6,1.0,0.4,1.7,15.9
102,P.J. Washington,CHO,27.2,.470,5.2,2.3,0.9,0.9,1.3,10.3
103,Cody Martin,CHO,26.3,.482,4.0,2.5,1.2,0.5,0.9,7.7
104,Kelly Oubre Jr.,CHO,26.3,.440,4.0,1.1,1.0,0.4,0.9,15.0
105,Mason Plumlee,CHO,24.6,.641,7.7,3.1,0.8,0.7,1.4,6.5
106,Montrezl Harrell,CHO,21.0,.645,4.9,2.0,0.4,0.5,0.9,11.4
107,Jalen McDaniels,CHO,16.3,.484,3.1,1.1,0.5,0.4,0.7,6.2
108,Ish Smith,CHO,13.8,.395,1.5,2.6,0.5,0.3,1.0,4.5
109,Isaiah Thomas,CHO,12.9,.433,1.2,1.4,0.4,0.2,0.6,8.3
110,James Bouknight,CHO,9.8,.348,1.7,0.8,0.2,0.0,0.5,4.6
111,JT Thor,CHO,7.9,.436,1.3,0.6,0.2,0.3,0.3,2.0
